a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
grigorchuk-supergroup-fp-amenable-hnn-satisfies-boone-higman	The finitely presented amenable HNN extension of the Grigorchuk supergroup embeds in a finitely presented simple group
group-algebras-embed-in-shell-essential-algebras	The group algebra K[P] of every countable group embeds in the central simple algebra A_nu/J of any of its shell envelopes, which also contains a unital Leavitt pair; algebra BH for group algebras reduces to finite presentation of one such A_nu/J
groupoid-lifts-of-central-extensions-need-no-invariant-measure	An odometer-type lift of a central Z-extension over a compact action forces its real class to vanish whenever the action has an invariant probability measure
gupta-torsion-element-survives-modulo-gamma-seven-citation	Import Gupta--Levin 1986 Lemma 2.2 (after C. K. Gupta 1973) and Lemma 4.4
gupta-torsion-element-survives-modulo-gamma-seven	Gupta's element u_6 of F_4/[F_4'',F_4] has order 2 and does not lie in the seventh term of the lower central series
hall-quotient-avoids-v-circle-groups-and-periodic-ends	Hall's non-residually-finite quotient B/C embeds neither in Thompson's V nor in any group of circle homeomorphisms, and no host with eventually periodic ends over a compact skew-product base carries it
hard-self-similar-groups-via-self-similar-kms-modules	Hard finitely presented self-similar groups from Kharlampovich-Myasnikov-Sapir groups whose configuration modules are self-similar
hard-slope-thompson-groups-have-no-piecewise-projective-hosts	For computable Liouville slopes λ with hard digits, the simple group D(V_λ) embeds in no finitely presented group of piecewise-projective maps of an interval, circle or line; in particular V_λ and D(V_λ) are not finitely presented
height-two-bs-tower-is-not-residually-finite	The height-two Baumslag--Solitar tower <a_0,a_1,a_2 | a_1 a_0 a_1^-1 = a_0^2, a_2 a_1 a_2^-1 = a_1^2> is not residually finite; the commutator of a_0 with its conjugate by a square root of a_1 dies in every finite quotient
higman-chain-configuration-reduction-proof	Both factors of the chain embed as soon as c has infinite order; separate them by the centralizer of (b, m) in M × L_1, using the retraction of BS(b,c) onto <b>
higman-chain-group-pbh-iff-chain-configuration	The chain BS(1,2) *_Z BS(1,2), the common vertex group of Higman's group and of the Baumslag--Gersten group, lies in B_A iff some B_A group has an element conjugate to its square that conjugates an infinite-order element to its square
higman-closure-theorems-inapplicable-proof	Proof of the retraction lemma and of its consequences for the Higman splittings and the permutational closure theorems
higman-group-embeds-in-no-lodha-moore-or-monod-group	Every homomorphism from Higman's group to Monod's group H(R) or to a Lodha-Moore group is trivial, answering Zaremsky's Oberwolfach 2018 Question 110 negatively
higman-group-satisfies-boone-higman	Higman's four-generator group embeds in a finitely presented simple group
higman-images-in-brick-hosts-have-iterated-log-growth	In any homomorphism from Higman's group to an isometric-section brick group, exponent sums grow like O((log m)^2) along powers 2^m, so a growth gap for brick maps would make every such homomorphism trivial
hnn-extensions-split-over-their-vertex-group-via-the-double	Every HNN extension A*_phi is also the HNN extension of the double A *_(phi C_1) tAt^-1 along the whole vertex group A -> tAt^-1, so the orbit-finite-edge clause of type (A) permanence can always be moved from the edge to the vertex group
hnn-stages-add-no-complexity-beyond-edge-distortion	A faithful one-permutation HNN stage over a type (A) actor adds no complexity beyond the distortion of its orbit-finite edge groups, and an identity edge must be closed under the permutation bicommutant, which fiber-product edges never are
homeo-cantor-has-dense-free-subgroups-without-fg-stabilizers	Homeo(Cantor) contains a dense free subgroup of rank 2, generated by the shift and a generic homeomorphism, none of whose clopen stabilizers is finitely generated
homeomorphism-group-mixed-identities-depend-only-on-closure	Mixed identities of a homeomorphism group depend only on its closure, so Cantor-dense groups are MIF and dense tame interval or circle groups have decidable mixed identities
homogeneous-conjugation-invariants-vanish-on-bs-bases	Every homogeneous conjugation-invariant quantity vanishes or is infinite on an element conjugate to a proper power, so no proper cocompact CAT(0) group contains Higman's group or the Baumslag--Gersten group
homogeneous-invariants-vanish-on-bs-bases-proof	Proof that homogeneous conjugation invariants vanish on proper-power bases, with the metric instances and the CAT(0) host exclusions
horner-resolvent-leavitt-tensor-k1-k2-vanish	For the Horner-resolvent algebra R_2 over F_2, the Leavitt tensor R_2 ⊗ L_(F_2)(1,2) has K_1 = K_2 = 0
houghton-groups-embed-in-thompson-v-proof	Code each ray point (i,k) as the cone c_i 1^k 0, so that eventual translations become prefix replacements on the tails c_i 1^K
houghton-groups-embed-in-thompson-v	Every Houghton group H_n embeds in Thompson's group V, so Houghton groups satisfy Boone--Higman
houghton-like-envelope-fp-pins-the-enumeration-by-near-relators	If H_n(E_nu(P)) is finitely presented, then nu is the unique solution of finitely many far-out near relators of R_nu plus a finite seed; the relators must involve a finite-index set of P-letters, and for P not virtually cyclic each needs two P-letters
houghton-like-envelopes-have-fp-germs-iff-fp-near-shift-group	For n >= 2 the Houghton-like envelope H_n(E_nu(P)) has finitely presented germ group exactly when the near shift group R_nu is finitely presented, so generic enumerations of every infinite finitely presented input pass the germ gate
houghton-like-envelopes-lift-finite-presentation-from-germs	For n >= 3 a Houghton-like group H_n(G) of a finitely generated strongly shift-similar group is finitely presented once its germ group is
houghton-like-explicit-presentation-from-fp-g-proof	Second, independent proof: glue n copies of a finite presentation of G to the translations by the shifting isomorphism, identify one transposition per ray, and read off H_n(G) as an FSym-by-germ extension
houghton-like-fp-spectrum-is-closed-under-multiplication	For every infinite shift-similar G the set of n with H_n(G) finitely presented is closed under multiplication by positive integers, and it is all n >= 1 when G is finitely presented and strongly shift-similar
houghton-like-germ-groups-are-index-zero-products-proof	Read off ray germs of H_n(G) as index-zero tuples in the extended germ group, then apply Meinert's inequality over at least three living factors and Renz's kernel criterion
houghton-like-groups-are-strongly-shift-similar	The Mallery-Zaremsky Houghton-like groups H_n(G) of a shift-similar G are strongly shift-similar, contain G^n, contain every finitary permutation, and are finitely generated when G is and n >= 2
houghton-like-groups-strongly-shift-similar-citation	Import Mallery-Zaremsky Definition 4.1, Observation 5.1, Propositions 5.3 and 5.5, Proposition 5.10, Corollary 5.11, Lemma 3.19 and Question 5.13
hyperbolic-free-product-contracting-rsg-proof	Shadows of points just past a syllable change are atoms of one type, and translating a factor branch into such a shadow copies every atom type, so the type graph of A * B has an irreducible core
hyperbolic-groups-have-fg-subgroups-with-two-double-cosets	Some hyperbolic group has a finitely generated subgroup of infinite index with exactly two double cosets, so double-coset rigidity for finitely generated subgroups needs a core-free hypothesis
hyperbolic-groups-in-b-a-proof	Read the type (A) action off the BBMZ proof that full contracting RSGs embed in finitely presented simple groups, then apply the B_A closures
hyperbolic-groups-lie-in-the-permutational-class	Full contracting rational similarity groups are type (A) actors, so hyperbolic groups and contracting self-similar groups lie in the permutational Boone--Higman class, and finite direct and graph products of them satisfy Boone--Higman
hyperbolic-groups-quasi-isometrically-embed-in-fp-simple-groups	Every hyperbolic group quasi-isometrically embeds in a finitely presented simple group of type F_infinity
hyperbolic-groups-undistortedly-embed-in-fp-simple-groups	Every hyperbolic group has an undistorted (quasi-isometric) embedding into a finitely presented simple group, and every full contracting RSG is undistorted in its finitely presented simple twisted Brin-Thompson group
hyperbolic-kac-moody-lattices-are-torsion-locally-finite	Kac–Moody lattices over finite fields whose Weyl group contains no Z^2 are torsion locally finite, so the finitely presented simple Kazhdan Kac–Moody groups with hyperbolic Weyl group contain no infinite finitely generated periodic group
hyperbolic-kac-moody-torsion-lf-proof	Without Z^2 in W the buildings have no flat planes (Caprace–Haglund), hence are Gromov hyperbolic, so a finitely generated torsion group has bounded orbits on both (Haettel–Osajda) and lies in a finite stabilizer of a pair of chambers
hyperbolic-pcf-rational-nekrashevych-groups-are-f-infinity	For every hyperbolic post-critically finite rational map f, and more generally every expanding partial self-covering of a compact space with type F_infinity fundamental group, the Nekrashevych group V_f = V_d(IMG f) has type F_infinity
hyperbolic-undistorted-fp-simple-embedding-proof	Check that each step G <= G*Z <= [[G*Z | horofunction boundary]] <= SV_Gamma of the BBMZ chain is undistorted, using free-factor retraction and full-group label length
imprimitive-braid-groups-b-e-e-n-lie-in-the-pbh-class-proof	Translate the configuration by a free parameter c, fibre over the strand positions c + y_k^e, and apply free-kernel permanence
imprimitive-braid-groups-b-e-e-n-lie-in-the-pbh-class	The braid group B(e,e,n) of every imprimitive complex reflection group G(e,e,n) lies in B_A and embeds in a finitely presented simple group, including the cases e >= 3, n >= 3 where linearity is open
infinite-kazhdan-group-in-wobbling-group-of-product-of-trees	Some infinite simple Kazhdan group, and ideally every canonical input H_Γ, has a coarsely dense bounded-displacement realization on F₂×F₂
infinite-shift-higman-compiler	A decidable infinite finite presentation has a finitely presented Mallery-Zaremsky shift envelope
infinite-shift-similar-groups-need-not-be-strongly-shift-similar	There is an infinite (not finitely generated) shift-similar group that is not strongly shift-similar, answering Mallery-Zaremsky Question 3.18 as stated
integral-affine-halving-stabilizers-are-finitely-generated	The stabilizer in the integral affine structure group of one halving direction of Z_2^D is finitely generated
integral-affine-splitting-types-have-finitely-many-tuple-orbits	In the twisted integral-affine full group, the global affine symmetries act on halving directions with finitely many orbits on k-tuples, because halving only sees Z_2 mod 2
integral-affine-structure-group-is-finitely-presented	The integral affine group of Z_2^D twisted by Thompson's F, (Z^(D) x| GL(Z; D)) x| F, is finitely presented
integral-counting-group-avoids-leavitt-linear-simple-hosts	The C_=P-complete integral Leavitt group Γ_Z has no simple host among Leavitt-linear groups over Z[1/M], and rational or finite-field ones would force C_=P ⊆ ∀·Mod_pP
integral-counting-group-hosts-proof	Congruence kernels, scalar commutators and injective reduction mod p exclude Leavitt-linear simple hosts of Γ_Z
integral-linear-one-host-via-elementary-shift-group	Boone-Higman for the elementary shift group E(Z) x| Z gives one host for every integral linear group
integral-linear-one-host-via-fp-elementary-thompson-group	Boone-Higman for the finitely presented group E(Z; D) x| F gives one host for every integral linear group
integral-linear-one-host-via-twisted-integral-affine-full-group	The finitely presented simple twisted integral-affine Brin-Thompson group W is one host for every integral linear group
interval-exchange-pl-groups-act-with-type-a-on-breakpoints	A finitely presented V-type PL group V(l;A,P) with P finitely generated and A/(IP·A) finite acts with type (A) on A∩[0,l); point stabilizers are ascending unions of copies of the group itself
interval-spherical-brown-criterion-proof	Filter by interval length; homologically, extension closure of n-finite complexes; homotopically, van Kampen along the suspended open intervals and Brown's presentation theorem
interval-spherical-brown-criterion	A group acting on a highly connected union of finite poset intervals is of type FP_n, or finitely presented, if only the homologically essential intervals are counted and their stabilizers have the finiteness matching their homological degree
irreducible-jnc-tree-lattices-pbh-via-bader-shalom	Unimodularity rules out fixed ends and abelian normal subgroups of the closures, Bader--Shalom then makes every projection injective, and a faithful factor finishes
irreducible-tree-lattices-with-jnc-closures-are-pbh	An irreducible lattice on a product of trees whose factor closures are just-non-compact acts faithfully on every factor, so it satisfies permutational Boone--Higman; three-tree lattices escape only through a non-just-non-compact closure
katsura-one-vertex-actions-are-odometers-proof	The Katsura cocycle gives sigma^m(j xi) = j sigma^n(xi); coprimality makes every level orbit full; the baker map conjugates a^m to a^n; the odometer lemma finishes
katsura-one-vertex-actions-are-odometers	For coprime m and n the one-vertex Katsura action of Z with matrices (m) and (n) is conjugate to the m-adic odometer, so its generator times the identity satisfies the BS(m,n) relation with the baker map but carries only the metabelian shadow of BS(m,n)
kazhdan-almost-v-central-v-elements-proof	Push the Kazhdan group down to the orbit space of an attracting basin, where it acts through V, then through an abelian group of translation numbers
kazhdan-central-aperiodic-parts-in-2v-carry-no-measure	For an infinite-order central element z of a Kazhdan subgroup K of 2V, the aperiodic set of z is a nonempty closed K-invariant set with no K-invariant measure, on which z never returns into its own reading bricks
kazhdan-central-elements-of-2v-have-slope-free-periodic-points	A central element of a Kazhdan (or FW) subgroup of 2V has slope zero at every periodic point; in nV the same holds for slopes of support at least n-1, and for all slopes if Kazhdan subgroups of lower-dimensional kV are finite
kazhdan-groups-avoid-full-groups-of-subexponential-actions	If a group of subexponential growth (such as Z^2) acts on a compact space, its topological full group contains no infinite Kazhdan group; so the canonical inputs H_Γ never lie in the permutational units of a crossed product over Z^2
kazhdan-inputs-need-one-ended-nonamenable-wobbling-scaffolds	Kazhdan inputs of the full-group gate over a fixed scaffold need one-ended uniformly nonamenable Schreier realizations, so amenable, polynomial-growth and virtually free scaffolds are dead while F₂×F₂ passes every test
kazhdan-simple-groups-act-only-on-exotic-2d-buildings	A finitely generated group with property (FA) and no nontrivial finite quotient acts trivially on every locally finite tree and every Bruhat–Tits building, so in building-coded hosts it can only act through exotic 2-dimensional factors, where a word problem outside EXP needs a non-discrete automorphism group
kazhdan-subgroups-of-almost-v-have-no-central-v-elements	A Kazhdan group of homeomorphisms of the Cantor set with finite V-singular sets has no central element of infinite order lying in a conjugate of V
kazhdan-subgroups-of-brin-thompson-groups-are-finite	For every n, every subgroup of the Brin-Thompson group nV with property (T) is finite
kazhdan-subgroups-of-brin-thompson-groups-have-finite-center	Every subgroup of a Brin-Thompson group nV with property (T) has finite center
kazhdan-subgroups-of-fp-simple-groups-can-have-infinite-centre	The integral Jacobi group Sp_2n(Z) ⋉ H(Z), n ≥ 2, is an integral linear Kazhdan group with infinite cyclic centre, so "Kazhdan subgroups have finite centre" does not separate Boone–Higman
khanh-ara-cortinas-hypotheses-hold-for-leavitt-tensor-hosts	Checked at source, every hypothesis of the Khanh and Ara--Cortiñas inputs holds for R = L_p ⊗ L_p over every prime field, so the fp-simple hosts rest only on those published or preprint theorems and on repository steps checked here
km-building-open-subgroups-have-infinite-bi-index	A subgroup of a Kac--Moody group of irreducible infinite type over a finite field that contains the trace of an open subgroup of the positive completion has finite index or infinitely many double cosets
km-building-open-subgroups-have-infinite-ht-orbits	In every highly transitive action of a Kac--Moody lattice over a finite field, every building-open subgroup and each of its finite-index subgroups has only infinite orbits
km-negative-completion-building-open-dichotomy-proof	A Chevalley involution swaps the two halves of the twin building and carries the positive building-open results to the negative completion
km-negative-completion-building-open-dichotomy	For 2-spherical Kac--Moody groups over fields with at least four elements, the building-open dichotomy and its high-transitivity consequences also hold for the negative completion
kms-central-configurations-transient-proof	The phi-core contains every normal phi-invariant subgroup of the domain, and the central configurations are fixed by the whole group ring up to augmentation
kms-configuration-modules-carry-self-similar-structures	Hard Kharlampovich-Myasnikov-Sapir groups have a self-similar top whose configuration module carries a self-similar module structure
kms-configuration-modules-have-trivial-coinvariants	The configuration module of every Kharlampovich-Myasnikov-Sapir group has trivial coinvariants, so it carries no self-similar module structure
kms-self-similarity-must-make-central-configurations-transient	A faithful self-similar action of a KMS group must push every central configuration element out of the domain, which kills counter halving, full-domain module maps and lamplighter-style division
kojima-sheng-two-generator-torsion-criterion-fails-in-v	Thompson's V contains elements g, h of order 3 with gh of order 3 generating an infinite group, so the two-generator criterion used to prove torsion local finiteness of nV (Kojima–Sheng, arXiv:2603.18410v3) is false
kourovka-7-19-explicit-fp-simple-group-with-non-pr-word-problem	Kourovka 7.19 (Cannonito) — an explicit finitely presented simple group whose word problem is not solvable by a primitive recursive function
kourovka-7-19-via-hard-type-a-actor	Take the twisted Brin-Thompson group of an explicit type (A) actor whose orbit problem is not primitive recursive
kourovka-7-19-via-small-cancellation-bh	A constructive Boone-Higman embedding of one explicit C'(1/6) group G_A with non-primitive-recursive A answers Kourovka 7.19
labbe-tiles-admit-periodic-quantum-tilings-at-every-scale	Labbé's 19 Wang tiles admit a nonzero periodic quantum tiling at every scale
lagrangian-brin-thompson-group-is-finitely-presented	For some n >= 2 the commutator subgroup of the Lagrangian Brin-Thompson group [[(Sp_2n(Z) on the unimodular Maslov Cantorization) x Cuntz]] is finitely presented; at n = 1 it is 2V
lagrangian-thompson-group-contains-deligne-lattice	The odometer Lagrangian Thompson group on the Maslov Cantorization of the Lagrangian Grassmannian contains Deligne's lattice for every odd n >= 3, with its centre acting as the odometer
lagrangian-thompson-group-is-finitely-presented	For some odd n >= 3 the odometer Lagrangian Thompson group is finitely presented and its commutator subgroup is simple and contains Deligne's lattice
lamp-digit-modules-give-self-similar-semidirect-products	A module over a self-similar group with restriction-closed lamp functions on tree vertices gives a self-similar semidirect product on the enlarged tree
lamp-wreath-representation-of-2609-01868-is-not-faithful	In the self-similar representation that arXiv:2609.01868 builds for Z wr_X PSL_2(Z[1/2]), every lamp acts as the same tree automorphism, so the representation is not faithful; the error is in the faithfulness step of their Theorem A, not in condition (Ω)
lamp-wreaths-over-cyclic-cosets-of-f2-lie-in-b-a	For a free basis element a of F_2, every B_A lamp group wreathed over F_2/<a> gives a group in B_A, so Z wr_(F_2/<a>) F_2 embeds in a finitely presented simple group
lamp-wreaths-over-cyclic-cosets-of-f2-proof	Build a ping-pong copy of F_2 in Thompson's V in which <a> is the exact stabilizer of a clopen set, then apply the clopen-orbit wreath lemma
lamp-wreaths-over-psl2-tree-vertices-lie-in-b-a	For m odd, every B_A lamp group wreathed over the vertex cosets PSL_2(Z[1/2m])/PSL_2(Z[1/m]) gives a group in B_A, in particular Z wr_X PSL_2(Z[1/2]) embeds in a finitely presented simple group
lamp-wreaths-over-psl2-tree-vertices-proof	The Möbius action puts PSL_2(Z[1/2m]) in the finitely presented full host V_2 of the Iwahori group, where the stabilizer of the ball Z_2 has index 3 in the vertex stabilizer
lamplighters-in-v-show-near-action-neatness-is-no-bh-obstruction	Lamplighters F wr Z lie in Thompson's group V but admit non-neat near actions, so no near-action neatness or profinite finite presentability condition on the input is necessary for Boone--Higman
lampshuffler-bases-lift-no-shift-for-one-ended-inputs	For a one-ended input, a near map of nonzero index never conjugates the regular copy of a finite-index subgroup into the regular copy, so over the lampshuffler base of H_n(E_nu(P)) the lifting criterion certifies no letter that shifts a strand
last-section-ascending-hnns-embed-in-rover-nekrashevych-groups	An ascending HNN extension along an endomorphism that keeps each element as its own last section embeds in a Röver–Nekrashevych group, by a single element of Thompson's F
last-section-f-infinity-tail-bh-proof	Proof that last-section ascending HNN extensions with F_infinity tail group embed in an F_infinity one-point germ extension of V_d S, and hence in a finitely presented simple group
leavitt-copy-centralizing-units-are-self-doubling	A Leavitt unit commutes with a unital copy of the Leavitt algebra exactly when it is conjugate to its own double, and doubling kills every additive invariant
leavitt-pair-unit-hosts-contain-their-own-squares	In any ring with a Leavitt pair the corner map embeds R x R in R, so unit groups, GL_n and E_n contain their own squares; on Steinberg groups the same map loses exactly one copy of K_2
leavitt-resolvent-ring-has-two-sided-division	The Leavitt resolvent ring R_L has two-sided division, so PE_N(R_L) is simple for every N >= 3 and every finitely presented simple quotient of St_N(R_L) is a quotient of the stabilization kernel
leavitt-square-unit-group-is-fp-simple-and-acyclic	The unit group of L ⊗ L is finitely presented, simple and integrally acyclic
leavitt-square-units-have-conp-parity-p-complete-word-problem	The word problem of (L ⊗ L)^x is coNP^⊕P-complete (an explicit f.g. subgroup unconditionally; the group is finitely presented and simple conditional on the Khanh and Ara--Cortiñas imports), so it is outside PH unless PH collapses
leavitt-square-units-mod-p-complete-word-problem	For every prime p, (L_(F_p)(1,2) ⊗ L_(F_p)(1,2))^x / F_p^x has word problem complete for ∀·Mod_pP (hardness and upper bound unconditional; finite presentation and simplicity conditional on the Khanh imports)
leavitt-square-units-wp-complexity-proof	Slot units, baker scrolling and parity pops make the word problem of (L ⊗ L)^x coNP^⊕P-complete
leavitt-stabilization-kernel-avoids-corner-and-index-subgroups	Over a ring with a Leavitt pair, the stabilization kernel U_N meets trivially every index-deleted subgroup (N >= 4) and every halving-corner subgroup at every index, and unstable Steinberg symbols are central and faithful for N >= 4
leavitt-steinberg-hosts-must-live-in-the-stabilization-kernel	Over a ring with two-sided division and a binary Leavitt family PE_N is simple even with central units; so for such rings containing Q every finitely presented simple quotient of St_N(R) is a quotient of the stabilization kernel U_N
leavitt-swindle-kills-deligne-center-in-ring-induced-hosts	Over a ring with an involution-compatible Leavitt pair, base change from Z kills H_2 of Sp_2g(Z) in rank 6g, so every lift of Deligne's lattice to a central extension of the symplectic group (StSp over R_L included) kills its centre
leavitt-tensor-k-theory-is-carried-by-nil-groups	For every algebra C, K_n(C ⊗ L(1,2)) is the image of NK_n(C ⊗ L(1,2)) under evaluation at 1, so K-regularity kills it, KH(C ⊗ L) = 0, and K(C) → K(C ⊗ L) is zero
leavitt-tensor-unit-counting-cap-proof	Monomial expansion, a padding witness and one counting quantifier bound every Leavitt tensor linear group; integral letters attain C_=P
leavitt-tensor-unit-groups-lie-in-the-permutational-class	For every prime p the unit group of L_p ⊗ L_p lies in the permutational class B_A, via its affine action on the Cantor-square module C(C², F_p)
leavitt-tensor-unit-word-problems-have-one-counting-quantifier	Word problems of finitely generated linear groups over Leavitt tensor algebras lie in ∀·Mod_pP (finite fields) or C_=P (Z[1/M]), both bounds are attained, and so PSPACE-hardness needs hosts without finite depth
leavitt-tensors-of-2-power-completions-are-z-crossed-products	If a Leavitt--Nekrashevych completion R has 2^b letters, then R ⊗ L_2 is a crossed product (R_0 ⊗ L_2) ⋊ Z by an explicit unit of bidegree (1, -b), so its K-theory is that of a Z-crossed product with coefficients R_0 ⊗ L_2
leavitt-unit-commuting-with-a-leavitt-copy-gives-q-in-units	An infinite-order Leavitt unit that commutes with a unital copy of the Leavitt algebra has roots of every order, so (Q,+) embeds in the unit group
lescure-kh-exact-sequence-for-algebraic-cuntz-pimsner-rings	Lescure (2026) — homotopy K-theory of relative algebraic Cuntz–Pimsner rings fits a Pimsner-type long exact sequence, with no injectivity or regularity assumption on the coefficient ring
li-coded-certificates-cannot-reach-hard-sft-hosts	The master-route bridge from a rigid SFT to a finite-state Li-coded category fails for every SFT whose pattern language is not decidable in time 2^(C n^8), whatever its rigidity
li-garside-criterion-fails-on-artin-monoid-omega-infinity	Li's groupoid of a finite-type Artin monoid on Omega_infinity is the partial action on the positive Deligne boundary, and Li's finiteness hypothesis (t<d) fails there already for B_3
lift-ideal-membership-is-decided-along-paths-proof	The set of prefixes with no good section is a finite subtree by König's lemma, and a maximal element of it would be lifted into M
lift-ideal-membership-is-decided-along-paths	A relator lies in a lift ideal as soon as, along every infinite path, one of its sections does
lift-presentability-is-invariant-under-level-regrouping-proof	Level-1 lift ideals are level-m lift ideals, and conversely the level-1 lift ideal of R lies in the level-m lift ideal of the sections of R down to depth m-1
lift-presentability-is-invariant-under-level-regrouping	V_d(G) is finitely presented if and only if V_{d^m}(G) is, for the level-m regrouped action, so the fixed-letter obstruction and run compression extend to commonly fixed words
lift-presentable-groups-closed-under-products-and-wreaths	Groups embedding in a group with a lift-presented finite-state action are closed under finite direct products and finite extensions, and an automaton group is one exactly when its recurrent part is
lift-presentation-passes-to-invariant-subalphabets-proof	The restriction map of free groups commutes with the recursion, so the preimage of the restricted lift ideal is a lift ideal containing R
lift-presentation-passes-to-invariant-subalphabets	If every state preserves a sub-alphabet and relators of the restricted automaton lift, a finitely generated lift ideal restricts to a finitely generated lift ideal, so V_{|X|}(G) finitely presented implies V_{|W|} of the restriction finitely presented
lift-presented-automaton-groups-satisfy-boone-higman-proof	Regroup to make the abelianization finite without changing the lift-ideal condition, then embed G diagonally on e disjoint cones into the simple commutator subgroup
lift-presented-automaton-groups-satisfy-boone-higman	An automaton group whose relator kernel is a finitely generated lift ideal embeds in a finitely presented simple group
lifted-odd-roots-of-the-odometer-doubled-by-the-baker-map	Some odd root of the 2V_tau odometer built from a V-torsion lift is squared by a doubling element, the first step toward Q semidirect 2 inside the F_infinity simple host 2V_tau
limit-groups-over-hyperbolic-bh-proof	Kharlampovich--Myasnikov put these groups in iterated extensions of centralizers of Γ, and each extension step preserves the permutational class
limit-groups-over-hyperbolic-groups-satisfy-boone-higman	Limit groups over a torsion-free hyperbolic group, and every finitely generated subgroup of its Lyndon completion, embed in finitely presented simple groups
limit-set-escaping-forces-infinitely-many-double-cosets	If some loxodromic element of G has both fixed points outside the limit set of H in a hyperbolic G-space, then H has infinitely many double cosets in G
limits-of-isolated-groups-basic-closure	The limits of isolated groups contain every LEF group and every isolated group, are closed under finite direct products and independent of the marking, and a finitely presented group is such a limit iff it has F-avoiding isolated quotients for every finite F
linear-activity-automata-can-have-non-fp-nekrashevych-groups	A linear-activity automaton over three letters, containing a spine copy of the Grigorchuk group, has a Rover–Nekrashevych group that is not finitely presented
linear-activity-odometer-automaton-has-fp-nekrashevych-group	The linear-activity automaton a = σ(1,a), b = (a,b) has every relator splitting freely, so its non-contracting group has a finitely presented Nekrashevych group and satisfies Boone–Higman
ln-completion-word-problem-reduces-to-base-algebra	The word problem of a Leavitt--Nekrashevych completion reduces to that of its base with a fixed elementary blow-up, so completions over free bases are not universal hosts
ln-completions-of-noninjective-recursions-proof	Iterate psi, check that the union of kernels is saturated, and compare O_psi(B) with the completion of the quotient through the embedding criterion
local-lemma-cannot-certify-multiscale-recurrence	Over the uniform product measure, the asymmetric local lemma cannot certify recurrence at infinitely many scales alongside any translation-invariant positive-probability constraint, so it cannot produce minimal subshifts on any infinite group
locally-moving-groups-first-l2-betti-proof	Any subgroup containing a rigid stabilizer and closed under infinite-intersection conjugates is everything; untwist cocycles from G_U, or from a product of two rigid stabilizers
locally-moving-groups-have-vanishing-first-l2-betti-number	A group of homeomorphisms whose rigid stabilizers of nonempty open sets are nontrivial, and which is generated by the rigid stabilizers of non-dense open sets, has vanishing first L2-Betti number
locally-quasiconvex-hyperbolic-groups-have-no-type-a-actions	Surface groups, infinite locally quasiconvex hyperbolic groups and closed hyperbolic 3-manifold groups carry no type (A) action; in any hyperbolic group, type (A) point stabilizers of infinite orbits have full limit set
lodha-moore-groups-embed-in-lodha-circle-group-proof	Double every element across the two halves of the Cantor set, conjugating by the digit flip on the second half, so that each percolating element pairs with its inverse
lodha-moore-groups-embed-in-lodha-circle-group	The Lodha--Moore groups, including the version with percolating elements at every address, embed in Lodha's finitely presented simple circle group S, so they satisfy Boone--Higman
lodha-moore-groups-with-quadratic-breakpoints-satisfy-bh	Every finitely generated group of piecewise PGL_2(Z[1/2]) homeomorphisms of the circle embeds in a finitely presented simple group
lodha-simple-circle-group-has-a-type-a-action	Lodha's finitely presented simple circle group S acts on P^1(Q) with type (A), so S satisfies permutational Boone–Higman and BFFHZ Question 3.4
lodha-simple-group-s-is-two-generated-proof	S is finitely generated, simple and contains Thompson's T, so the circle two-generation theorem applies
lodha-simple-group-s-is-two-generated	Lodha's finitely presented simple group S of piecewise projective circle homeomorphisms is generated by two elements
loop-braid-distortion-from-free-factor-systems-proof	The extended symmetric automorphisms are the full preimage in Aut(F_n) of the stabilizer of the coindex n-1 free factor system of basis letters
loop-braid-groups-are-distorted-in-aut-free-groups	For n >= 3 the symmetric automorphism groups of F_n, and so the loop braid groups, are distorted in Aut(F_n) and in the BFFHZ simple host
loop-retraction-forces-fp-eventual-section-groups-proof	The section endomorphism at a commonly fixed letter carries every stage of the lift-ideal construction into a normal closure in the eventual section group
loop-retraction-forces-fp-eventual-section-groups	If every state of an automaton fixes a letter x and its Rover–Nekrashevych group is finitely presented, then the eventual section group at x is finitely presented
lossless-monomial-recursions-give-simple-completions-proof	Losslessness composes along branches, so no cancellation occurs; erasure plus a peel state gives scalar descendants
lossless-monomial-recursions-give-simple-completions	A lossless row-monomial recursion on a free algebra has a monomial self-similar quotient, and if every surviving word erases to the empty word along some branch, its completion is finitely presented and simple
low-complexity-mapping-class-groups-are-continuous-automatic	The mapping class groups of punctured spheres, of the torus and once-punctured torus, and of the closed genus-two surface are continuous automatic
low-complexity-mcg-continuous-automatic-proof	Punctured spheres by capping a braid group modulo its center, genus one through SL_2(Z), and genus two by Birman--Hilden, all transported by commensurability
m2-envelopes-via-free-product-with-z	Clapham envelope, then free product with Z; universality of one hyperaperiodic point of the envelope then gives (M2) for the new envelope
mapping-class-groups-are-continuous-automatic	Mapping class groups of finite-type surfaces are continuous automatic (BBCMP Question 1.16, first part)
maslov-cantorizations-have-no-finite-dissection-type	No Sp_4(Z)-invariant Maslov Cantorization of the Lagrangian Grassmannian has finite dissection type, so the Lagrangian Brin-Thompson group 2V_Λ(2) has no Sp_4(Z)-rigid pair-diagram calculus
